normalization,,global,global,per_subject,per_subject
threshold_policy,,fixed_0.5,source_tuned,fixed_0.5,source_tuned
source,target,,,,
campanella,nurse,0.507,0.505,0.502,0.499
campanella,wesad,0.468,0.467,0.465,0.458
nurse,campanella,0.435,0.458,0.464,0.474
nurse,wesad,0.439,0.438,0.399,0.41
wesad,campanella,0.386,0.393,0.348,0.326
wesad,nurse,0.312,0.323,0.362,0.376
wesad+campanella,nurse,0.409,0.526,0.521,0.521
