dataset,model,held_out,n_test,n_train,n_test_pos,n_test_neg,best_threshold,best_params,accuracy,balanced_accuracy,macro_f1,precision_0,recall_0,f1_0,precision_1,recall_1,f1_1,roc_auc
wesad,rf,S10,63,856.0,24,39,0.33999999999999997,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 4, 'clf__n_estimators': 200}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
wesad,rf,S11,63,856.0,23,40,0.36999999999999994,"{'clf__max_depth': None, 'clf__min_samples_leaf': 4, 'clf__n_estimators': 200}",0.8571428571428571,0.8043478260869565,0.8278165806255694,0.8163265306122449,1.0,0.898876404494382,1.0,0.6086956521739131,0.7567567567567568,0.9891304347826088
wesad,rf,S13,62,857.0,22,40,0.35999999999999993,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 4, 'clf__n_estimators': 400}",0.7258064516129032,0.6136363636363636,0.5975563192058038,0.7017543859649122,1.0,0.8247422680412371,1.0,0.22727272727272727,0.37037037037037035,0.9375000000000001
wesad,rf,S14,62,857.0,22,40,0.43999999999999995,"{'clf__max_depth': None, 'clf__min_samples_leaf': 4, 'clf__n_estimators': 200}",0.6774193548387096,0.7295454545454545,0.6770833333333333,0.9166666666666666,0.55,0.6875,0.5263157894736842,0.9090909090909091,0.6666666666666666,0.8454545454545455
wesad,rf,S15,62,857.0,23,39,0.3999999999999999,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 4, 'clf__n_estimators': 200}",0.7258064516129032,0.6304347826086957,0.6174228675136116,0.6964285714285714,1.0,0.8210526315789474,1.0,0.2608695652173913,0.41379310344827586,0.8372352285395764
wesad,rf,S16,61,858.0,22,39,0.32999999999999996,"{'clf__max_depth': None, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 200}",0.8360655737704918,0.8519813519813519,0.8305555555555556,0.9393939393939394,0.7948717948717948,0.8611111111111112,0.7142857142857143,0.9090909090909091,0.8,0.8479020979020979
wesad,rf,S17,63,856.0,24,39,0.33999999999999997,"{'clf__max_depth': None, 'clf__min_samples_leaf': 4, 'clf__n_estimators': 400}",0.8253968253968254,0.8349358974358974,0.820883949340915,0.9117647058823529,0.7948717948717948,0.8493150684931506,0.7241379310344828,0.875,0.7924528301886793,0.9358974358974359
wesad,rf,S2,59,860.0,21,38,0.31999999999999995,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 400}",0.3389830508474576,0.47619047619047616,0.25316455696202533,0.0,0.0,0.0,0.3448275862068966,0.9523809523809523,0.5063291139240507,0.5
wesad,rf,S3,60,859.0,22,38,0.38999999999999996,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 4, 'clf__n_estimators': 200}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
wesad,rf,S4,60,859.0,21,39,0.30999999999999994,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 400}",0.35,0.5,0.25925925925925924,0.0,0.0,0.0,0.35,1.0,0.5185185185185185,0.49450549450549447
